smiles,log10_pampa,log10_caco2,log10_mdck
C/C(CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)=C(/F)CN,-6.154901959985743,,
C/C(CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21)=C(\F)CN,-6.259637310505756,,
C/C(CN)=C(/F)CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21,-6.657577319177793,,
C/C(CN)=C(\F)CN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21,-6.309803919971486,,
C/C1=C/CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)[C@@H](CN3CCCC3)[C@@H]2CC1,,-4.798602875679548,
C/C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)[C@@H](CN3CCC(OCc4cccnc4)CC3)[C@@H]2CC1,,-4.962573502059376,
C/C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)[C@@H](CN3CCC(c4cc(O)nc(C)n4)CC3)[C@@H]2CC1,,-5.568636235841013,
C/C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)[C@@H](CN[C@@H](Cc3ccccc3)C(=O)O)[C@@H]2CC1,,-5.823908740944319,
C/C=C(\C)C(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(N=[N+]=[N-])c3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](OC(=O)C4CC4)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C,,-3.133712660915805,
C/C=C(\C)C(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(N=[N+]=[N-])c3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](OC(=O)CC(F)(F)F)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C,,-3.5228787452803374,
C/C=C(\C)C(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(N=[N+]=[N-])c3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](OC(=O)CC)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C,,-5.022276394711152,
C/C=C(\C)C(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(N=[N+]=[N-])c3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](OC(=O)CCl)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C,,-4.721246399047171,
C/C=C(\C)C(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(N=[N+]=[N-])c3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](OC(=O)CN(C)C)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C,,-3.377785977033705,
C/C=C(\C)C(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(N=[N+]=[N-])c3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](OC(=O)CNC(=O)OC(C)(C)C)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C,,-3.910094888560602,
C/C=C(\C)C(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(N=[N+]=[N-])c3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](OC(=O)NC)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C,,-3.593459819566045,
C/C=C(\C)C(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(N=[N+]=[N-])c3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](OC(=O)OCC)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C,,-3.1272611725273314,
C/C=C/C(=O)Nc1ccc(CCCCCC)cc1,-3.364516253185088,,
C/C=C/C(=O)Nc1cccc(-c2nc3ccccc3s2)c1,-2.784891418946907,,
C/C=C/C(=O)c1ccc(CCCCCCC)cc1,-5.154901959985743,,
C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,,,-6.698970004336019
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,,,-6.154901959985743
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,,,-5.853871964321762
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,-5.705533773838408,-7.199068583786366,-5.853871964321762
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)N1C,,,-5.958607314841775
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,,,-6.301029995663981
C/C=C/C[C@@H](C)[C@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]1NC,,,-6.698970004336019
C1=CCOCc2cc(ccc2OCCN2CCCCC2)Nc2nccc(n2)-c2cccc(c2)COC1,-5.405607449624573,,
C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,-5.031517051446065,,
C=C(C)C(=O)N1CCC(CN(C2Cc3cc(C#N)ccc3N(Cc3cncn3C)C2)S(=O)(=O)c2ccccn2)CC1,,-6.301029995663981,
C=C(C)C(=O)Nc1cccc(-c2nc3ccccc3s2)c1,-3.0056828473303634,,
C=C(C)C(=O)c1ccc(CCCCCCC)cc1,-4.366531544420414,,
C=C(C)CN1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1,,-5.008773924307505,
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CC2CN(C(=O)OCC)C2)cc1O,,-4.657577319177793,
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CC2CN(C(C)=O)C2)cc1O,,-4.309803919971486,
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,-4.644740094472621,-5.823908740944319,
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1OC(=O)N(C)CC,-4.7256112044496215,,
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1OC(=O)N(C)Cc1ccc(Cl)cc1,-4.889410289700751,,
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCn2ccnn2)cc1O,,-4.275724130399211,
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,-5.772113295386326,
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6cccc(N)c6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,-7.275724130399211,
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6cccc(O)c6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,-5.634512015109101,
C=C(CC(=O)Nc1ccc(CCCCCC)cc1)C(=O)O,-4.2441251443275085,,
C=C(CCCCC)c1c(C)[nH]c2cc(OC)c(Cl)cc2c1=O,-3.122053048370812,,
C=C(F)CN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,,-6.777283528852417,
C=C(F)COc1ccc(Cl)cc1[C@H]1C[C@@H]1CN,,-4.416801226031377,
C=C(c1ccccc1)[C@@H]1OC[C@@H](N)[C@H](C)O1,,-4.986741334716483,
C=C(c1ccccc1)[C@H]1OC[C@@H](N)CO1,,-4.990549104201306,
C=C(c1ccccc1)[C@H]1OC[C@@H](N)[C@H](C)O1,,-4.989276134608227,
C=C(c1ccccc1)[C@H]1OC[C@@H](NC(=O)Cc2ccccc2)[C@H](C)O1,,-5.045275209020937,
C=C(c1ccccc1)[C@H]1OC[C@H](N)CO1,,-4.99225222199926,
C=C1C[C@@](C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)S1,,,-4.42021640338319
C=CC(=O)N(C)[C@H]1CCN(c2ccc(C(N)=O)c(Nc3ccc(CCN4CCCC4)cc3)n2)C1,,-7.154901959985743,
C=CC(=O)N1C2CCC1CN(c1ccc(C(N)=O)c(Oc3ccc(Oc4ccccc4)cc3)n1)C2,,-6.221848749616356,
C=CC(=O)N1CC(c2ccc(-c3nc(Nc4cc(C)[nH]n4)cc(N4CCN(C)CC4)n3)cc2)C1,,-5.958607314841775,
C=CC(=O)N1CC2(CC(Nc3ncnc(N)c3-c3ccc(Oc4ccccc4)cc3)C2)C1,,-5.031517051446065,
C=CC(=O)N1CC2(CCN(c3nc(Nc4cc(C(C)C)[nH]n4)cc(N4CCN(C)CC4)n3)CC2)C1,,-6.698970004336019,
C=CC(=O)N1CCC(C2CCN(c3nc(Nc4cc(C(C)C)[nH]n4)cc(N4CCN(C)CC4)n3)CC2)C1,,-6.698970004336019,
C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,,-4.657577319177793,
C=CC(=O)N1CCC(O)(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,,-5.045757490560675,
C=CC(=O)N1CCC(c2ccc(-c3nc(Nc4cc(C(C)C)[nH]n4)cc(N4CCN(C)CC4)n3)cc2)CC1,,-5.958607314841775,
C=CC(=O)N1CCC(c2ccc(-c3nc(Nc4cc(C)[nH]n4)cc(N4CCN(C)CC4)n3)cc2)C1,,-6.3979400086720375,
C=CC(=O)N1CCC(c2ccc(-c3nc(Nc4cc(C)[nH]n4)cc(N4CCN(C)CC4)n3)cc2)CC1,,-5.6020599913279625,
C=CC(=O)N1CCC(c2ccc(-c3nc(Nc4cc(C5COC5)[nH]n4)cc(N4CCN(C)CC4)n3)cc2)CC1,,-6.698970004336019,
C=CC(=O)N1CCC2(CCN(c3nc(Nc4cc(C(C)C)[nH]n4)cc(N4CCN(C)CC4)n3)CC2)C1,,-6.698970004336019,
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,,-5.4564856298445585,
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc4ccccc4c3)c3c(N)ncnc32)C1,,-6.292429823902063,
C=CC(=O)N1CCC[C@@H](n2nc(-c3cn(-c4ccc(C(C)=O)cc4)nn3)c3c(N)ncnc32)C1,,-4.698970004336019,
C=CC(=O)N1CCC[C@@H](n2nc(-c3cn(C)c4ccccc34)c3c(N)ncnc32)C1,,-6.522878745280337,
C=CC(=O)N1CCC[C@@H](n2nc(-c3cn(CC(F)(F)c4ccc(Cl)cc4)nn3)c3c(N)ncnc32)C1,,-5.434152181326483,
C=CC(=O)N1CCC[C@@H](n2nc(-c3cn(CC(F)(F)c4ccccc4)nn3)c3c(N)ncnc32)C1,,-4.927750102386486,
C=CC(=O)N1CCN(c2ccc(C(N)=O)c(Nc3ccc(CCN4CCCC4)cc3)n2)CC1,,-7.301029995663981,
C=CC(=O)N1CCN(c2ccc(C(N)=O)c(Oc3ccc(Oc4ccccc4)cc3)n2)CC1,,-4.886056647693163,
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C(C)C)ccnc3C)c3nc(-c4c(O)cccc4F)c(Cl)cc23)[C@@H](C)C1,,,-5.698970004336019
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C(C)C)ccnc3C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,,,-6.0
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)cccc3C(C)C)c3nc(-c4c(O)cccc4F)c(Cl)cc23)[C@@H](C)C1,,,-4.823908740944319
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)cccc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,,,-4.657577319177793
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(Cl)cc23)[C@@H](C)C1,,,-6.0
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,,,-5.221848749616356
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ncnc3C(C)C)c3nc(-c4c(O)cccc4F)c(Cl)cc23)[C@@H](C)C1,,,-6.0
C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ncnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,,,-6.0
C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3cc(-c4c(C)ccc5[nH]ncc45)c(Cl)cc23)CC1,,,-5.3979400086720375
C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3cc(-c4c(O)cccc4F)c(Cl)cc23)CC1,,,-5.698970004336019
C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3cc(-c4c(O)cccc4F)c(Cl)cc23)[C@@H](C)C1,,,-6.0
C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3cc(-c4ccccc4C(F)(F)F)c(Cl)cc23)[C@@H](C)C1,,,-5.522878745280337
C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3cc(-c4ccccc4Cl)c(Cl)cc23)[C@@H](C)C1,,,-5.221848749616356
C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3cc(-c4ccccc4F)c(Cl)cc23)CC1,,,-5.154901959985743
C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3cc(-c4ccccc4F)c(Cl)cc23)[C@@H](C)C1,,,-5.0
C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3nc(-c4c(O)cccc4F)c(Cl)cc23)CC1,,,-5.221848749616356
C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3nc(-c4c(O)cccc4F)c(Cl)cc23)[C@@H](C)C1,,,-5.045757490560675
C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3nc(-c4ccccc4Cl)c(Cl)cc23)[C@@H](C)C1,,,-4.920818753952375
C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3nc(-c4ccccc4F)c(Cl)cc23)[C@@H](C)C1,,,-4.698970004336019
C=CC(=O)N1CCN(c2nc(=O)n(-c3ccccc3C(C)C)c3nc(-c4ccccc4O)c(Cl)cc23)[C@@H](C)C1,,,-4.7447274948966935
C=CC(=O)N1CC[C@@H](Nc2ccc(C(N)=O)c(Oc3ccc(Oc4ccccc4)cc3)n2)C1,,-5.0,
C=CC(=O)N1CC[C@H](Nc2ccc(C(N)=O)c(Oc3ccc(Oc4ccccc4)cc3)n2)C1,,-5.522878745280337,
C=CC(=O)N1CC[C@H](Nc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)C1,,-4.598599459218456,
C=CC(=O)N1C[C@@H]2C[C@H]1CN2c1ccc(C(N)=O)c(Oc2ccc(Oc3ccccc3)cc2)n1,,-5.173925197299174,
C=CC(=O)N1C[C@H]2C[C@@H]1CN2c1ccc(C(N)=O)c(Nc2ccc(C)nc2)n1,,-7.397940008672037,
C=CC(=O)N1C[C@H]2C[C@@H]1CN2c1ccc(C(N)=O)c(Oc2ccc(Oc3ccccc3)cc2)n1,,-5.096910013008056,
C=CC(=O)NC12CCC(/C=C/c3nc(Nc4cc(C)[nH]n4)cc(N4CCN(C)CC4)n3)(CC1)CC2,,-6.154901959985743,
C=CC(=O)NC12CCC(Nc3ncnc(N)c3-c3ccc(Oc4ccccc4)cc3)(C1)C2,,-4.663540266151471,
C=CC(=O)NCCCC[C@H](NC(=O)Cc1ccc(F)cc1)C(=O)N1CCN(c2ccc([N+](=O)[O-])nc2)CC1,-7.705533773838407,,
C=CC(=O)NCCCC[C@H](NC(=O)Cc1ccc(F)cc1)C(=O)N1CCN(c2cccc(C)n2)CC1,-6.943095148663527,,
C=CC(=O)NCCCC[C@H](NC(=O)Cc1cccc(F)c1)C(=O)N1CCN(c2cccc(C)n2)CC1,-6.903089986991944,,
C=CC(=O)NCCCC[C@H](NC(=O)Cc1ccccc1)C(=O)N1CCN(C(=O)c2ccc(F)cc2)CC1,-7.515700160653214,,
C=CC(=O)NCCCC[C@H](NC(=O)Cc1ccccc1)C(=O)N1CCN(Cc2ccc(F)cc2)CC1,-6.987162775294828,,
C=CC(=O)NCCCC[C@H](NC(=O)Cc1ccccc1)C(=O)N1CCN(S(=O)(=O)c2cccc3c(N(C)C)cccc23)CC1,-7.114638779968488,,
